Maithili,English
अहाँ हमर गलती क्षमा कएलहुँ।,You forgave my mistake.
हम अपन सोच सकारात्मक बनाबैत छी।,I keep my thoughts positive.
ओ हमरा मार्गदर्शन करैत अछि।,He guides me.
अहाँ हमर भावना समझलहुँ।,You understood my feelings.
हम अपन लक्ष्य के दिशा में अग्रसर छी।,I am progressing towards my goal.
ओ हमरे सिखायल कि आत्मविश्वास की होइत अछि।,He taught me what confidence means.
अहाँ हमर संग सदैव विनम्र रहलहुँ।,You were always polite with me.
हम अपन हर काज में लगन राखैत छी।,I put dedication into everything I do.
ओ हमर सहपाठी अछि।,He is my classmate.
अहाँ हमरा अपन प्रिय स्थान बतौलहुँ।,You told me your favorite place.
हम सफलता पबय लेल कड़ी मेहनत करैत छी।,I work hard to achieve success.
ओ हमरा प्रेरणा दैत अछि।,He inspires me.
अहाँ हमर मार्गदर्शक बनि गेलहुँ।,You became my mentor.
हम अपन संस्कार पर गर्व करैत छी।,I am proud of my values.
ओ हमर उपकार सदा मानैत अछि।,He always acknowledges my help.
अहाँ हमरा अपन आदर्श बताओल।,You told me your ideals.
हम अपन लक्ष्य पबि क' गौरवान्वित होयब।,I will feel proud after achieving my goal.
ओ हमरा संग नित्य अध्ययन करैत अछि।,He studies with me daily.
अहाँ हमर जीवन में परिवर्तन अनलहुँ।,You brought change in my life.
हम अपन समय के मूल्य समझैत छी।,I understand the value of time.
ओ हमरा पुस्तक पढ़य लेल प्रोत्साहित करैत अछि।,He encourages me to read books.
अहाँ हमर जीवन में एकटा दीप बनि गेलहुँ।,You became a light in my life.
हम रोज नव काज सिखय चाहैत छी।,I want to learn something new every day.
ओ हमर आत्मबल बढ़बैत अछि।,He increases my self-confidence.
अहाँ हमर प्रिय व्यक्ति छी।,You are my favorite person.
हम अपन गलती स' सिखैत छी।,I learn from my mistakes.
ओ हमेशा सत्य बोलैत अछि।,He always speaks the truth.
अहाँ हमरा अपन अनुभव सुनौलहुँ।,You shared your experience with me.
हम कठिन मेहनत सँ काज पूरा करैत छी।,I complete tasks with hard work.
ओ हमरा आत्मनिर्भर बनाबय चाहैत अछि।,He wants to make me self-reliant.
अहाँ हमर विचार के सम्मान करैत छी।,You respect my opinion.
हम समय के पालन करैत छी।,I follow punctuality.
ओ हमर सहायता क' बहुत नीक दोस्त बनल।,He became a good friend by helping me.
अहाँ हमर आदर्श छी।,You are my role model.
हम समाज में सकारात्मक बदलाव आनय चाहैत छी।,I want to bring positive change in society.
ओ हमरे संग योजना बनबैत अछि।,He makes plans with me.
अहाँ हमरा आत्मविश्वास सिखौलहुँ।,You taught me self-confidence.
हम अपन जीवन के उद्देश्य जानि चुकल छी।,I have realized the purpose of my life.
ओ हमरा पढ़ाई में मदद करैत अछि।,He helps me with studies.
अहाँ हमरा पर गर्व अनुभव करैत छी।,You feel proud of me.
हम अपन व्यक्तित्व विकास पर ध्यान दैत छी।,I focus on my personality development.
ओ हमर सफलता में साथ देलक।,He supported me in my success.
अहाँ हमरे संग अपन समय बितौलहुँ।,You spent your time with me.
हम हर परिस्थिति में मुस्कुराइत छी।,I smile in every situation.
ओ हमरा अपन किताब देलक।,He gave me his book.
अहाँ हमरे संग प्रेरणादायक चर्चा कएलहुँ।,You had an inspiring talk with me.
हम अपन भविष्य बनाबय चाहैत छी।,I want to build my future.
ओ हमर आत्मबल बनल।,He became my strength.
अहाँ हमरा अपन प्रिय शेर सुनौलहुँ।,You recited your favorite poem to me.
हम अपन रुचि के अनुसार अध्ययन करैत छी।,I study according to my interests.
ओ हमरे संग संग चलैत अछि।,He walks along with me.
अहाँ हमरा जीवन के राह देखेलहुँ।,You showed me the path in life.
हम समाज सेवा में रुचि रखैत छी।,I am interested in social service.
ओ हमर आत्मसम्मान बढ़बैत अछि।,He boosts my self-esteem.
अहाँ हमरा संग अपन अनुभव साझा कएलहुँ।,You shared your experience with me.
हम अपन सपना साकार करय चाहैत छी।,I want to fulfill my dreams.
ओ हमरे प्रेरक विचार सुनबैत अछि।,He tells me inspiring thoughts.
अहाँ हमरा अपन विश्वास दैत छी।,You give me your trust.
हम जीवन में सकारात्मक सोच रखैत छी।,I keep a positive mindset in life.
ओ हमरे संग संघर्ष करैत अछि।,He struggles along with me.
अहाँ हमर गलती सुधार कएलहुँ।,You corrected my mistake.
हम आत्मविकास के दिशा में बढ़ि रहल छी।,I am moving towards self-development.
ओ हमरे संग रचनात्मक काज करैत अछि।,He does creative work with me.
अहाँ हमरा सही मार्ग देखेलहुँ।,You showed me the right path.
हम अपन शिक्षा में सुधार चाहैत छी।,I want to improve in my education.
ओ हमरे संग प्रेरक कहानि सुनबैत अछि।,He tells me motivational stories.
अहाँ हमरे आत्मबल बनलहुँ।,You became my inner strength.
हम हर चुनौती के सामना करैत छी।,I face every challenge.
ओ हमरे संग आशा राखैत अछि।,He keeps hope with me.
अहाँ हमरा नयका दिशा देखेलहुँ।,You showed me a new direction.
हम अपन जीवन सन्देश फैलाबय चाहैत छी।,I want to spread the message of my life.
ओ हमरे संग आत्मीयता राखैत अछि।,He shares a close bond with me.
हम अपने कार्य में कड़ी मेहनत करैत छी।,I work hard in my tasks.
ओ हमरा भविष्य के बारे में सलाह देलक।,He gave me advice about my future.
अहाँ हमर जीवन में हमेशा सँग रहलहुँ।,You have always been with me in my life.
हम शिक्षा के क्षेत्र में योगदान देय चाहैत छी।,I want to contribute to the field of education.
ओ हमर सपनाक साथी बनल।,He became the partner of my dreams.
अहाँ हमर विचार के समर्थन कएलहुँ।,You supported my ideas.
हम अपन जीवन के उद्देश्य बुझलहुँ।,I understood the purpose of my life.
ओ हमरे संग हर चुनौती के सामना करैत अछि।,He faces every challenge with me.
अहाँ हमरा प्रेरणा देलहुँ।,You gave me inspiration.
हम अपन लक्ष्य के ओर बढ़ि रहल छी।,I am moving towards my goal.
ओ हमर जीवन में एक नवा अध्याय जोड़लक।,He added a new chapter to my life.
अहाँ हमरा अपन आदर्श सिखौलहुँ।,You taught me your ideals.
हम अपना मित्र से हमेशा सच्चाई सुनैत छी।,I always hear the truth from my friend.
ओ हमर सफलता में सबसे बड़ा योगदान देलक।,He made the biggest contribution to my success.
अहाँ हमर हिम्मत बढ़ाबैत छी।,You boost my courage.
हम अपन दोष से सिखैत छी।,I learn from my faults.
ओ हमरे संग समय बिताबय चाहैत अछि।,He wants to spend time with me.
अहाँ हमरा अपन अनुभव सुनायब?,Will you share your experience with me?
हम नवा सीख के लिए हमेशा तत्पर छी।,I am always eager to learn new things.
ओ हमरा संग पढ़ाई में मदद करैत अछि।,He helps me with my studies.
अहाँ हमर हिम्मत बनल।,You became my strength.
हम आत्मनिर्भर बनय चाहैत छी।,I want to become self-reliant.
ओ हमरे संग हर काज में भागीदार बनल।,He became a partner in every task with me.
अहाँ हमरा अपना मित्र मानलहुँ।,You considered me your friend.
हम समय के साथ अपने लक्ष्य को प्राप्त करब।,I will achieve my goal with time.
ओ हमरा अपन सपने बतायब।,He will tell me about his dreams.
अहाँ हमर जीवन में उम्मीद बनल।,You became hope in my life.
हम अपनी संस्कृति पर गर्व करैत छी।,I am proud of my culture.
ओ हमर प्रेरक बनल।,He became my inspiration.
अहाँ हमर विश्वास के लिए आभारी छी।,I am grateful for your trust.
हम संग मिलि के काम करबाक चाहैत छी।,I want to work together.
ओ हमरा सदैव खुशी दैत अछि।,He always makes me happy.
अहाँ हमरा अपन सिखावन देलहुँ।,You gave me your guidance.
हम जीवन में हर चुनौती स्वीकार करैत छी।,I accept every challenge in life.
ओ हमर साथ सदैव खड़ा रहैत अछि।,He always stands by me.
अहाँ हमरा अति महत्वपूर्ण बात बतायब?,Will you tell me something very important?
हम स्वतंत्र रूप से अपना निर्णय लेब।,I will make decisions independently.
ओ हमरा सफलता के रास्ता देखा रहल अछि।,He is showing me the path to success.
अहाँ हमरा अपन लक्ष्य हासिल करय में मदद करैत छी।,You help me achieve my goals.
"हम प्रयास करते रहते छी, परिणाम के बारे में नहीं सोचैत छी।","I keep trying, without thinking about the results."
ओ हमर जीवन में परिवर्तन अनल।,He brought change in my life.
अहाँ हमरा साथ हर काज में सामंजस्य बनाए रखैत छी।,You keep harmony with me in every task.
हम सच्चाई से कभी पीछे नहीं हटब।,I will never back down from the truth.
ओ हमर रास्ता दिखाइत अछि।,He shows me the way.
अहाँ हमर मार्गदर्शक बनल।,You became my guide.
हम नवा विचार सिखय चाहैत छी।,I want to learn new ideas.
ओ हमर मित्र पर हमेशा विश्वास करैत अछि।,He always trusts my friend.
अहाँ हमर धैर्य के परीक्षा लेलहुँ।,You tested my patience.
हम हर निर्णय में आत्मविश्वास रखैत छी।,I keep confidence in every decision.
हम अपन अध्ययन में और अधिक समय देब।,I will give more time to my studies.
ओ हमरा संग परिवार के संग समय बिताबय चाहैत अछि।,He wants to spend time with me and my family.
अहाँ हमर निर्णय के समर्थन कएलहुँ।,You supported my decision.
हम जीवन में संतुलन बनाए रखने के प्रयास करैत छी।,I try to maintain balance in life.
ओ हमर परिवार के सदस्य के साथ समय बिताबय चाहैत अछि।,He wants to spend time with my family members.
अहाँ हमरा जीवन में नया उत्साह भरलहुँ।,You brought new enthusiasm into my life.
हम अप्पन गलती स्वीकार क' रहल छी।,I am accepting my mistake.
ओ हमरे लिए एक आदर्श बनल।,He became an ideal for me.
अहाँ हमरा साथ यात्रा करय चाहैत छी।,You want to travel with me.
हम सपना देखैत छी और ओ सपना साकार करय चाहैत छी।,I dream and want to make that dream come true.
ओ हमरा आत्मविश्वास सिखाबय चाहैत अछि।,He wants to teach me self-confidence.
अहाँ हमरा जीवन में खुशी का स्रोत बनलहुँ।,You became the source of happiness in my life.
हम हर कार्य में श्रेष्ठता प्राप्त करय चाहैत छी।,I want to achieve excellence in every task.
ओ हमर मित्र के साथ समय बिताबय चाहैत अछि।,He wants to spend time with my friend.
अहाँ हमरा साहस देलहुँ।,You gave me courage.
हम अपना शिक्षा पर ध्यान केंद्रित करैत छी।,I am focusing on my education.
ओ हमर हर निर्णय के समर्थन करैत अछि।,He supports every decision of mine.
अहाँ हमरा जीवन में आशा की किरण बनलहुँ।,You became a ray of hope in my life.
हम समय के साथ अपने उद्देश्य को प्राप्त करब।,I will achieve my objectives with time.
ओ हमर विचार के सराहना करैत अछि।,He appreciates my ideas.
अहाँ हमरा आत्मनिर्भर बनने के प्रेरणा देलहुँ।,You inspired me to become self-reliant.
हम आस्थावान बनय चाहैत छी।,I want to be faithful.
ओ हमरे साथ काज में सहयोग करैत अछि।,He collaborates with me in work.
अहाँ हमरा अपना परिवार के सदस्य के रूप में देखैत छी।,You consider me a member of your family.
हम अप्पन निर्णय पर कायम रहैत छी।,I stand firm on my decisions.
ओ हमरे साथ हर मुश्किल समय में खड़ा रहैत अछि।,He stands with me in every difficult time.
अहाँ हमरा हमेशा समझाइत छी।,You always explain things to me.
हम जीवन में संघर्ष करैत छी।,I struggle in life.
ओ हमर जीवन के हर पहलु में सुधार लाबय चाहैत अछि।,He wants to improve every aspect of my life.
अहाँ हमरा आत्मविकास के दिशा में मार्गदर्शन कएलहुँ।,You guided me towards self-development.
हम आत्म-विश्वास से भरी जिंदगी जीबय चाहैत छी।,I want to live a life full of self-confidence.
ओ हमरे साथ हर सफलता में भागीदार बनल।,He became a partner in every success of mine.
अहाँ हमरा सीख देलहुँ।,You taught me.
हम हर दिन कुछ नया सीखैत छी।,I learn something new every day.
ओ हमरा विचार के महत्व समझाबय चाहैत अछि।,He wants to make me understand the importance of my thoughts.
अहाँ हमर मित्र के रूप में बहुत महत्वपूर्ण छी।,You are very important to me as a friend.
हम हर काज में सफलता प्राप्त करय चाहैत छी।,I want to achieve success in every task.
ओ हमरे संग बेहतर निर्णय लेबाक प्रयास करैत अछि।,He tries to make better decisions with me.
अहाँ हमरा अपन मार्गदर्शक मानैत छी।,You consider me your guide.
हम हर परिस्थिती में अच्छा परिणाम की उम्मीद रखैत छी।,I expect good results in every situation.
ओ हमरे संग समस्याओं का समाधान खोजैत अछि।,He seeks solutions to problems with me.
अहाँ हमरा जीवन में सुधार के लिए प्रेरित कएलहुँ।,You motivated me to improve my life.
हम अपन दृष्टिकोण में परिवर्तन लायब।,I will bring change in my perspective.
ओ हमर संघर्ष को समझैत अछि।,He understands my struggles.
अहाँ हमरा स्वावलंबी बनने के लिए प्रेरित करैत छी।,You inspire me to be self-sufficient.
हम हर दिन खुद को सुधारैत छी।,I improve myself every day.
ओ हमर काज में मदद करैत अछि।,He helps me in my work.
अहाँ हमर जीवन के सबसे महत्वपूर्ण हिस्सा छी।,You are the most important part of my life.
हम अपन भविष्य के बारे में सोचि रहल छी।,I am thinking about my future.
ओ हमरे जीवन में एक नई दिशा जोड़ल।,He added a new direction to my life.
अहाँ हमर आत्मविश्वास बढ़ाबैत छी।,You boost my self-confidence.
हम अपन लक्ष्य के प्रति समर्पित छी।,I am dedicated to my goal.
ओ हमर विचार में सुधार लाबय चाहैत अछि।,He wants to bring improvement in my thoughts.
अहाँ हमरा अपनी क्षमता पर विश्वास दिलाओलहुँ।,You made me believe in my abilities.
हम समाज में बदलाव लाबय चाहैत छी।,I want to bring change in society.
ओ हमर प्रयास में हिस्सा लेलक।,He participated in my efforts.
अहाँ हमर प्रिय मित्र छी।,You are my dear friend.
हम शिक्षा के क्षेत्र में काम करय चाहैत छी।,I want to work in the field of education.
ओ हमर साथ हमेशा खड़ा रहैत अछि।,He is always standing with me.
अहाँ हमरा हर पल समझाइत छी।,You explain things to me every moment.
हम निरंतर सुधार करय चाहैत छी।,I want to continuously improve.
ओ हमरे जीवन में एक प्रेरणा बनल।,He became an inspiration in my life.
अहाँ हमरा सही मार्ग पर चलने के लिए प्रेरित कएलहुँ।,You inspired me to walk on the right path.
हम कड़ी मेहनत करैत छी ताकि सफलता प्राप्त कर सकी।,I work hard so that I can achieve success.
ओ हमर विचार में नया दृष्टिकोण लाबय चाहैत अछि।,He wants to bring a new perspective in my thoughts.
अहाँ हमरा मजबूत बनय के लिए प्रेरित कएलहुँ।,You motivated me to become strong.
हम समय के साथ अपने व्यक्तित्व में सुधार लाबय चाहैत छी।,I want to improve my personality with time.
ओ हमर संघर्ष में हमर साथ रहैत अछि।,He stays with me in my struggles.
अहाँ हमरा मेहनत के महत्व बताओलहुँ।,You taught me the importance of hard work.
हम अपन उद्देश्य के प्रति विश्वास रखैत छी।,I believe in my purpose.
ओ हमर आत्मविश्वास में वृद्धि क' रहल अछि।,He is increasing my self-confidence.
अहाँ हमरा सदैव मार्गदर्शन देलहुँ।,You always guided me.
हम जीवन में सकारात्मक बदलाव लाबय चाहैत छी।,I want to bring positive change in my life.
ओ हमर साहस बढ़ाबय चाहैत अछि।,He wants to increase my courage.
अहाँ हमरा सिखायल कि जीवन में कभी हार नहीं माननी चाहिए।,You taught me that I should never give up in life.
हम अपने सपने को साकार करय चाहैत छी।,I want to make my dreams come true.
ओ हमरे संग हर संकट का सामना करैत अछि।,He faces every crisis with me.
अहाँ हमरा जीवन के हर समस्या का समाधान बताओलहुँ।,You told me the solution to every problem in my life.
हम अपनी आत्मा को शांति देबाक कोशिश करैत छी।,I am trying to bring peace to my soul.
ओ हमरे जीवन में खुशियाँ लाबय चाहैत अछि।,He wants to bring happiness into my life.
अहाँ हमरा कठिन समय में सहारा देलहुँ।,You supported me in difficult times.
हम हर कार्य को उत्साह के साथ करैत छी।,I do every task with enthusiasm.
ओ हमर जीवन में एक स्थिरता लाबय चाहैत अछि।,He wants to bring stability in my life.
अहाँ हमरा आत्मविश्वास के साथ निर्णय लेबाक सिखायल।,You taught me to make decisions with confidence.
हम सही रास्ते पर चलने के लिए हमेशा प्रयासरत रहैत छी।,I am always striving to walk on the right path.
ओ हमरे साथ जीवन के हर पहलु पर बात करैत अछि।,He talks to me about every aspect of life.
अहाँ हमरा हमेशा प्रेरित करैत छी।,You always inspire me.
हम हर दिन कुछ नया सीखने के लिए तत्पर छी।,I am eager to learn something new every day.
ओ हमरा दुख में साथ देलक।,He supported me in my sorrow.
अहाँ हमरा सदैव सहयोग देलहुँ।,You always supported me.
हम जीवन में कभी भी कड़ी मेहनत से पीछे नहीं हटब।,I will never back down from hard work in life.
ओ हमर कठिनाइयाँ समझैत अछि।,He understands my difficulties.
अहाँ हमरा सपना पूरा करने के लिए प्रेरित कएलहुँ।,You motivated me to fulfill my dream.
हम जीवन में सफलता के लिए निरंतर प्रयास करैत छी।,I am constantly working hard for success in life.
ओ हमरे साथ हर अच्छे समय में भी खड़ा रहैत अछि।,He stands with me even in good times.
अहाँ हमर आत्मविश्वास को मजबूत करैत छी।,You strengthen my self-confidence.
हम अप्पन फैसलों में आत्मविश्वास रखैत छी।,I have confidence in my decisions.
ओ हमरे विचार में एक नया दृष्टिकोण जोड़लक।,He added a new perspective to my thoughts.
अहाँ हमरा अपनी समझदारी सिखायल।,You taught me your wisdom.
हम अपन शिक्षा के प्रति समर्पित छी।,I am dedicated to my education.
ओ हमरा हर परिस्थिति में साहस देलक।,He gave me courage in every situation.
अहाँ हमरा जीवन में सुधार लाबय के लिए प्रेरित कएलहुँ।,You inspired me to bring improvement in my life.
हम आत्म-निर्भर बनय के लिए मेहनत करैत छी।,I am working hard to become self-reliant.
ओ हमर साथ हर मुश्किल में खड़ा रहैत अछि।,He stands with me in every difficulty.
अहाँ हमरा सही दिशा में मार्गदर्शन देलहुँ।,You guided me in the right direction.
हम जीवन में हर चुनौती को अपन लक्ष्य मानैत छी।,I consider every challenge in life as my goal.
ओ हमरे साथ हर कठिन समय में खड़ा रहैत अछि।,He stays with me during every tough time.
अहाँ हमरा निरंतर प्रेरित करैत छी।,You continuously inspire me.
हम हर दिन आत्म-निर्भर बनने के लिए प्रयासरत छी।,I am striving to become self-reliant every day.
ओ हमर संघर्ष में हमर साथ देलक।,He supported me in my struggle.
अहाँ हमरा हमेशा एक नई दिशा में सोचने के लिए प्रेरित करैत छी।,You always inspire me to think in a new direction.
हम अपने हर प्रयास में सफलता प्राप्त करय चाहैत छी।,I want to achieve success in every effort.
ओ हमरा आत्मविश्वास बढ़ाबय के लिए प्रेरित करैत अछि।,He motivates me to boost my self-confidence.
अहाँ हमरा जीवन में महत्वपूर्ण बदलाव लाबय के लिए प्रेरित कएलहुँ।,You inspired me to bring significant changes in my life.
हम अपन सपने को पूरा करय के लिए निरंतर कार्य करैत छी।,I am working continuously to fulfill my dreams.
ओ हमरे साथ हर अच्छे समय में खड़ा रहैत अछि।,He stands with me in every good time.
अहाँ हमरा कठिनाइयों के बावजूद हमेशा साथ देलहुँ।,You supported me despite all difficulties.
हम अपना उद्देश्य प्राप्त करय के लिए पूरी तरह से समर्पित छी।,I am completely dedicated to achieving my objective.
ओ हमर संग हर पहलु में सुधार लाबय चाहैत अछि।,He wants to bring improvement in every aspect with me.
अहाँ हमरा जीवन के हर पहलु में मदद कएलहुँ।,You helped me in every aspect of my life.
हम हर दिन अपने लक्ष्य के प्रति समर्पित रहते हुए कार्य करैत छी।,I work every day with dedication towards my goal.
ओ हमरा संघर्षों के बावजूद प्रेरित करैत अछि।,He inspires me despite my struggles.
अहाँ हमरा हर समय अपने सपने को साकार करय के लिए प्रेरित कएलहुँ।,You motivated me to make my dreams come true every time.
हम जीवन में हर कदम आत्मविश्वास से बढ़ने के लिए प्रयासरत छी।,I am striving to move forward with confidence in every step of life.
ओ हमर हर निर्णय में हिस्सा लेलक।,He participated in every decision of mine.
अहाँ हमरा हर कार्य में सफलता प्राप्त करने के लिए प्रेरित कएलहुँ।,You motivated me to achieve success in every task.
हम हर दिन अपने आत्मविकास के लिए काम करैत छी।,I work every day for my self-development.
ओ हमर संघर्ष को समझैत अछि।,He understands my struggles.
अहाँ हमरा हर कठिनाई में संजीवनी शक्ति प्रदान कएलहुँ।,You gave me strength to handle every difficulty.
हम आत्म-विश्वास से अपने लक्ष्यों को पूरा करय चाहैत छी।,I want to achieve my goals with self-confidence.
ओ हमर जीवन में उत्साह भरल।,He filled enthusiasm in my life.
अहाँ हमर जीवन में महत्वपूर्ण परिवर्तन लाबय के लिए प्रेरित कएलहुँ।,You motivated me to bring significant change in my life.
हम जीवन में हर काम आत्मविश्वास से करय चाहैत छी।,I want to do every task in life with confidence.
ओ हमरे साथ हर चुनौती का सामना करैत अछि।,He faces every challenge with me.
अहाँ हमरा कभी हार नहीं मानने के लिए प्रेरित कएलहुँ।,You motivated me to never give up.
हम अप्पन फैसले पर पूर्ण विश्वास रखैत छी।,I have full faith in my decisions.
ओ हमरा हर समय मार्गदर्शन क' रहल अछि।,He is guiding me all the time.
अहाँ हमरा अपने काज में सफलता प्राप्त करय के लिए मार्गदर्शन कएलहुँ।,You guided me to achieve success in my work.
हम हर दिन अपने उद्देश्य को प्राप्त करने के लिए प्रयासरत छी।,I am working every day to achieve my goals.
ओ हमर आत्मविश्वास को बढ़ाबय में मदद करैत अछि।,He helps me in increasing my self-confidence.
अहाँ हमरा हर कार्य में पूरा समर्थन देलहुँ।,You supported me completely in every task.
हम जीवन में हर मुश्किल से सामना करय के लिए तैयार छी।,I am ready to face every difficulty in life.
ओ हमर जीवन में हर कदम पर सहारा देलक।,He supported me at every step in my life.
अहाँ हमरा हर लक्ष्य को प्राप्त करने के लिए प्रेरित कएलहुँ।,You motivated me to achieve every goal.
हम अपने सपने को साकार करय के लिए निरंतर कार्य करैत छी।,I am continuously working to make my dreams come true.
ओ हमरे साथ हर कार्य में सहयोग करैत अछि।,He collaborates with me in every task.
अहाँ हमरा आत्मनिर्भर बनने के लिए प्रेरित करैत छी।,You inspire me to become self-reliant.
हम आत्मनिर्भर बनय के लिए कड़ी मेहनत करैत छी।,I am working hard to become self-reliant.
ओ हमर साथ हमेशा सच्चाई पर आधारित निर्णय लेबाक कोशिश करैत अछि।,He always tries to make decisions based on truth with me.
अहाँ हमर जीवन के हर निर्णय में महत्वपूर्ण भूमिका निभा रहल छी।,You play an important role in every decision of my life.
हम अपन समर्पण के साथ हर लक्ष्य प्राप्त करय चाहैत छी।,I want to achieve every goal with dedication.
ओ हमर कठिनाइयाँ समझैत अछि आ हमेशा मदद करैत अछि।,He understands my difficulties and always helps me.
अहाँ हमरा आत्म-संवर्धन के लिए प्रेरित कएलहुँ।,You motivated me for self-improvement.
हम जीवन में हर बदलाव को एक अवसर मानैत छी।,I consider every change in life as an opportunity.
ओ हमर साथ अपने सपने को साकार करय में मदद करैत अछि।,He helps me in making my dreams come true.
अहाँ हमरा अपन समय की कीमत समझायल।,You taught me the value of time.
हम हर दिन आत्मनिर्भर बनने के लिए काम करैत छी।,I work every day to become self-reliant.
ओ हमरा नये विचारों से प्रेरित करैत अछि।,He inspires me with new ideas.
अहाँ हमरा जीवन में कभी भी हार नहीं मानने की प्रेरणा देलहुँ।,You gave me the inspiration to never give up in life.
हम अपने जीवन को एक नई दिशा देबाक प्रयास करैत छी।,I am trying to give my life a new direction.
ओ हमर संघर्ष में सहयोग क' रहल अछि।,He is helping in my struggle.
अहाँ हमरा अपने उद्देश्य के प्रति पूर्ण समर्पण सिखायल।,You taught me complete dedication towards my goals.
हम हमेशा अपने जीवन के हर पहलु में सुधार लाबय चाहैत छी।,I always want to bring improvement in every aspect of my life.
ओ हमरा जीवन में सकारात्मक बदलाव लाबय के लिए प्रेरित करैत अछि।,He motivates me to bring positive changes in my life.
अहाँ हमरा हर स्थिति में संयम और धैर्य रखने की सिखायल।,You taught me to maintain patience and composure in every situation.
हम हर दिन अपने उद्देश्य के प्रति समर्पित रहते हुए काम करैत छी।,I work every day with dedication towards my goal.
ओ हमरा आत्मविश्वास बढ़ाबय के लिए सिखा रहल अछि।,He is teaching me to boost my self-confidence.
अहाँ हमरा जीवन के हर संकट से बाहर निकलने के लिए प्रेरित कएलहुँ।,You motivated me to overcome every crisis in life.
हम जीवन में हर दिन कुछ नया सीखने के लिए तत्पर छी।,I am eager to learn something new every day in life.
ओ हमर संघर्षों को समझैत अछि आ हमेशा सहारा देलक।,He understands my struggles and always gave me support.
अहाँ हमर जीवन के हर फैसले में हिस्सा लेलहुँ।,You took part in every decision of my life.
हम समय के साथ अपने लक्ष्यों को साकार करय चाहैत छी।,I want to make my goals a reality with time.
ओ हमरा कभी भी किसी समस्या का हल खोजने के लिए प्रेरित करैत अछि।,He always motivates me to find a solution to every problem.
अहाँ हमरा कड़ी मेहनत और निरंतर प्रयास से सफलता प्राप्त करय के लिए प्रेरित कएलहुँ।,You motivated me to achieve success through hard work and continuous effort.
हम अप्पन संघर्ष के बावजूद अपने उद्देश्य के प्रति पूरी तरह से समर्पित छी।,"Despite my struggles, I am fully dedicated to my goals."
ओ हमर जीवन में एक स्थिरता लाबय चाहैत अछि।,He wants to bring stability in my life.
अहाँ हमरा जीवन में आनेवाली चुनौतियों से निपटने के लिए सिखायल।,You taught me how to deal with the challenges that come in life.
हम अपन निर्णय में आत्मविश्वास रखैत छी।,I have confidence in my decisions.
ओ हमर प्रेरणा के स्रोत अछि।,He is the source of my inspiration.
अहाँ हमरा हर काम में सफलता प्राप्त करने के लिए प्रेरित कएलहुँ।,You motivated me to achieve success in every task.
हम सदैव आत्म-निर्भर बनने के लिए कड़ी मेहनत करैत छी।,I always work hard to become self-reliant.
ओ हमरे साथ हर कार्य में पूर्ण सहयोग करैत अछि।,He fully cooperates with me in every task.
अहाँ हमर जीवन में सबसे महत्वपूर्ण व्यक्ति छी।,You are the most important person in my life.
हम अपन लक्ष्य के प्रति समर्पित रहते हुए अपने कार्यों को पूरा करय चाहैत छी।,I want to complete my tasks while being dedicated to my goals.
ओ हमरे साथ हर फैसले में सहयोग करैत अछि।,He collaborates with me in every decision.
अहाँ हमरा हमेशा सकारात्मक सोचने के लिए प्रेरित करैत छी।,You always inspire me to think positively.
हम जीवन में हर दिन कुछ नया सीखने के लिए तत्पर छी।,I am eager to learn something new every day in life.
ओ हमर जीवन में सकारात्मक बदलाव लाबय चाहैत अछि।,He wants to bring positive changes in my life.
अहाँ हमरा कड़ी मेहनत के मूल्य समझायल।,You taught me the value of hard work.
हम कड़ी मेहनत से सफलता प्राप्त करय चाहैत छी।,I want to achieve success through hard work.
ओ हमर साथ हमेशा सहानुभूति रखैत अछि।,He always shows sympathy with me.
अहाँ हमरा आत्मविश्वास सिखायल।,You taught me self-confidence.
